job_id,job_title,company,job_location,role_category,job_level,job_type,first_seen,source,month,quarter
JOB-00067,Lead Data Analyst,Astra International,"Bali, Indonesia",Data Analyst,Entry level,Full-time,2024-06-27,Kaggle-LinkedIn-Synthetic,6,2
JOB-00068,Business Data Analyst,Unilever,"San Francisco, Ca",Data Analyst,Director,Contract,2024-03-21,Kaggle-LinkedIn-Synthetic,3,1
JOB-00069,Lead Data Analyst,Pwc,Remote,Data Analyst,Entry level,Contract,2024-11-30,Kaggle-LinkedIn-Synthetic,11,4
JOB-00070,Analytics Analyst,Pwc,"Jakarta, Id",Data Analyst,Entry level,Full-time,2024-02-23,Kaggle-LinkedIn-Synthetic,2,1
JOB-00071,Marketing Data Analyst,Tokopedia,"Yogyakarta, Indonesia",Data Analyst,Associate,Full-time,2024-10-10,Kaggle-LinkedIn-Synthetic,10,4
JOB-00072,Marketing Data Analyst,Mckinsey,Remote,Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00073,Business Data Analyst,Astra International,"Sydney, Australia",Data Analyst,Mid-Senior level,Full-time,2024-09-07,Kaggle-LinkedIn-Synthetic,9,3
JOB-00074,Data Analyst,Netflix,Hybrid - Jakarta,Data Analyst,Associate,Part-time,2024-08-04,Kaggle-LinkedIn-Synthetic,8,3
JOB-00075,Data Analyst,Google,"New York, Ny",Data Analyst,Entry level,Contract,2024-03-07,Kaggle-LinkedIn-Synthetic,3,1
JOB-00076,Senior Data Analyst,Standard Chartered,"Tokyo, Japan",Data Analyst,Entry level,Contract,2024-12-27,Kaggle-LinkedIn-Synthetic,12,4
JOB-00077,Lead Data Analyst,Google,"Yogyakarta, Indonesia",Data Analyst,Associate,Freelance,2024-02-08,Kaggle-LinkedIn-Synthetic,2,1
JOB-00078,Lead Data Analyst,Amazon,,Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00079,Data Analyst Intern,Gojek,"Bandung, Indonesia",Data Analyst,Entry level,Full-time,2024-06-06,Kaggle-LinkedIn-Synthetic,6,2
JOB-00080,Data Analyst,Samsung,Singapore,Data Analyst,Mid-Senior level,Contract,2024-12-15,Kaggle-LinkedIn-Synthetic,12,4
JOB-00081,Analytics Analyst,Spotify,"Seattle, Wa",Data Analyst,Mid-Senior level,Full-time,2024-10-13,Kaggle-LinkedIn-Synthetic,10,4
JOB-00082,Bi Analyst,Shopee,"Kuala Lumpur, Malaysia",Data Analyst,Entry level,Internship,2024-03-24,Kaggle-LinkedIn-Synthetic,3,1
JOB-00083,Data Analyst Intern,Microsoft,"Medan, Indonesia",Data Analyst,Mid-Senior level,Contract,2024-06-19,Kaggle-LinkedIn-Synthetic,6,2
JOB-00084,Analytics Analyst,Telkom Indonesia,"Bangkok, Thailand",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00085,Data Analyst Intern,Amazon,"Amsterdam, Netherlands",Data Analyst,Mid-Senior level,Contract,2024-04-23,Kaggle-LinkedIn-Synthetic,4,2
JOB-00086,Associate Data Analyst,Samsung,"San Francisco, Ca",Data Analyst,Entry level,Full-time,2024-04-26,Kaggle-LinkedIn-Synthetic,4,2
JOB-00087,Data Analyst,Bukalapak,"Austin, Tx",Data Analyst,Associate,Full-time,2024-06-17,Kaggle-LinkedIn-Synthetic,6,2
JOB-00088,Junior Data Analyst,Deloitte,"Seattle, Wa",Data Analyst,Associate,Full-time,2024-11-24,Kaggle-LinkedIn-Synthetic,11,4
JOB-00089,Analytics Analyst,IBM,"Jakarta, Indonesia",Data Analyst,Associate,Contract,2024-02-29,Kaggle-LinkedIn-Synthetic,2,1
JOB-00090,Senior Data Analyst,Astra International,"Bandung, Indonesia",Data Analyst,Director,Full-time,2024-02-25,Kaggle-LinkedIn-Synthetic,2,1
JOB-00091,Financial Data Analyst,Accenture,"London, Uk",Data Analyst,Mid-Senior level,Internship,2024-11-06,Kaggle-LinkedIn-Synthetic,11,4
JOB-00092,Data Analyst Intern,Bukalapak,"Bangkok, Thailand",Data Analyst,Mid-Senior level,Full-time,2024-01-23,Kaggle-LinkedIn-Synthetic,1,1
JOB-00093,Data Analyst,Linkaja,"Tokyo, Japan",Data Analyst,Associate,Full-time,2024-12-17,Kaggle-LinkedIn-Synthetic,12,4
JOB-00094,Financial Data Analyst,OCBC,"Surabaya, Indonesia",Data Analyst,Director,Full-time,2024-12-06,Kaggle-LinkedIn-Synthetic,12,4
JOB-00095,Bi Analyst,Accenture,,Data Analyst,Mid-Senior level,Full-time,2024-03-04,Kaggle-LinkedIn-Synthetic,3,1
JOB-00096,Lead Data Analyst,Pwc,Hybrid - Singapore,Data Analyst,Mid-Senior level,Internship,2024-07-28,Kaggle-LinkedIn-Synthetic,7,3
JOB-00097,Data Analyst Intern,Mckinsey,"Tokyo, Japan",Data Analyst,Mid-Senior level,Internship,2024-03-06,Kaggle-LinkedIn-Synthetic,3,1
JOB-00098,Data Analyst Intern,P&G,Hybrid - Singapore,Data Analyst,Mid-Senior level,Full-time,2024-03-30,Kaggle-LinkedIn-Synthetic,3,1
JOB-00099,Data Analyst Intern,Google,"San Francisco, Ca",Data Analyst,Associate,Full-time,2024-05-26,Kaggle-LinkedIn-Synthetic,5,2
JOB-00100,Data Analyst Intern,Accenture,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00101,Analytics Analyst,Bank Bca,,Data Analyst,Mid-Senior level,Full-time,2024-08-30,Kaggle-LinkedIn-Synthetic,8,3
JOB-00102,Analytics Analyst,Netflix,"San Francisco, Ca",Data Analyst,Entry level,Internship,2024-09-20,Kaggle-LinkedIn-Synthetic,9,3
JOB-00103,Junior Data Analyst,Telkom Indonesia,Hybrid - Singapore,Data Analyst,Mid-Senior level,Contract,2024-06-07,Kaggle-LinkedIn-Synthetic,6,2
JOB-00104,Business Data Analyst,Shopee,"Jakarta, Indonesia",Data Analyst,Mid-Senior level,Part-time,2024-01-24,Kaggle-LinkedIn-Synthetic,1,1
JOB-00105,Associate Data Analyst,Apple,"Berlin, Germany",Data Analyst,Associate,Full-time,2024-07-31,Kaggle-LinkedIn-Synthetic,7,3
JOB-00106,Data Insights Analyst,P&G,"Amsterdam, Netherlands",Data Analyst,Executive,Contract,2024-07-23,Kaggle-LinkedIn-Synthetic,7,3
JOB-00107,Senior Data Analyst,Google,"Yogyakarta, Indonesia",Data Analyst,Associate,Full-time,2024-08-05,Kaggle-LinkedIn-Synthetic,8,3
JOB-00108,Senior Data Analyst,Linkaja,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00109,Junior Data Analyst,Flipkart,"Bali, Indonesia",Data Analyst,Associate,Part-time,2024-08-25,Kaggle-LinkedIn-Synthetic,8,3
JOB-00110,Associate Data Analyst,Dana,"London, Uk",Data Analyst,Mid-Senior level,Contract,2024-10-07,Kaggle-LinkedIn-Synthetic,10,4
JOB-00111,Senior Data Analyst,Lazada,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-05-12,Kaggle-LinkedIn-Synthetic,5,2
JOB-00112,Analytics Analyst,Deloitte,"Sydney, Australia",Data Analyst,Mid-Senior level,Full-time,2024-09-05,Kaggle-LinkedIn-Synthetic,9,3
JOB-00113,Marketing Data Analyst,Standard Chartered,"Surabaya, Indonesia",Data Analyst,Director,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00114,Marketing Data Analyst,IBM,"New York, Ny",Data Analyst,Mid-Senior level,Internship,2024-10-03,Kaggle-LinkedIn-Synthetic,10,4
JOB-00115,Senior Data Analyst,Shopee,"Kuala Lumpur, Malaysia",Data Analyst,Director,Full-time,2024-07-15,Kaggle-LinkedIn-Synthetic,7,3
JOB-00116,Data Insights Analyst,Bank Bca,Hybrid - Jakarta,Data Analyst,Mid-Senior level,Internship,2024-07-31,Kaggle-LinkedIn-Synthetic,7,3
JOB-00117,Financial Data Analyst,Flipkart,"London, Uk",Data Analyst,Entry level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00118,Data Analyst Intern,P&G,"Seoul, South Korea",Data Analyst,Associate,Full-time,2024-12-22,Kaggle-LinkedIn-Synthetic,12,4
JOB-00119,Bi Analyst,P&G,"Amsterdam, Netherlands",Data Analyst,Mid-Senior level,Full-time,2024-01-04,Kaggle-LinkedIn-Synthetic,1,1
JOB-00120,Marketing Data Analyst,P&G,"London, Uk",Data Analyst,Associate,Full-time,2024-10-02,Kaggle-LinkedIn-Synthetic,10,4
JOB-00121,Associate Data Analyst,Bank Mandiri,"Bangkok, Thailand",Data Analyst,Mid-Senior level,Full-time,2024-08-11,Kaggle-LinkedIn-Synthetic,8,3
JOB-00122,Data Analyst,P&G,"New York, Ny",Data Analyst,Associate,Full-time,2024-12-08,Kaggle-LinkedIn-Synthetic,12,4
JOB-00123,Data Insights Analyst,Grab,"Berlin, Germany",Data Analyst,Entry level,Internship,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00124,Data Analyst Intern,Microsoft,"Surabaya, Indonesia",Data Analyst,Entry level,Contract,2024-11-25,Kaggle-LinkedIn-Synthetic,11,4
JOB-00125,Senior Data Analyst,Flipkart,"Medan, Indonesia",Data Analyst,Entry level,Full-time,2024-01-26,Kaggle-LinkedIn-Synthetic,1,1
JOB-00126,Data Analyst Intern,Accenture,Singapore,Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00127,Financial Data Analyst,P&G,"Bandung, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-08-03,Kaggle-LinkedIn-Synthetic,8,3
JOB-00128,Junior Data Analyst,Lazada,,Data Analyst,Mid-Senior level,Full-time,2024-10-03,Kaggle-LinkedIn-Synthetic,10,4
JOB-00129,Financial Data Analyst,Bank Mandiri,Hybrid - Jakarta,Data Analyst,Director,Internship,2024-02-05,Kaggle-LinkedIn-Synthetic,2,1
JOB-00130,Data Analyst,Telkom Indonesia,Singapore,Data Analyst,Entry level,Internship,2024-01-11,Kaggle-LinkedIn-Synthetic,1,1
JOB-00131,Business Data Analyst,Gojek,"Amsterdam, Netherlands",Data Analyst,Mid-Senior level,Full-time,2024-12-08,Kaggle-LinkedIn-Synthetic,12,4
JOB-00132,Bi Analyst,Bank Bca,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-12-24,Kaggle-LinkedIn-Synthetic,12,4
JOB-00133,Financial Data Analyst,Grab,Remote,Data Analyst,Mid-Senior level,Full-time,2024-11-06,Kaggle-LinkedIn-Synthetic,11,4
JOB-00134,Senior Data Analyst,Pwc,"Yogyakarta, Indonesia",Data Analyst,Associate,Part-time,2024-10-23,Kaggle-LinkedIn-Synthetic,10,4
JOB-00135,Marketing Data Analyst,P&G,"Austin, Tx",Data Analyst,Mid-Senior level,Full-time,2024-04-11,Kaggle-LinkedIn-Synthetic,4,2
JOB-00136,Bi Analyst,Telkom Indonesia,"Yogyakarta, Indonesia",Data Analyst,Associate,Part-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00137,Analytics Analyst,Tokopedia,,Data Analyst,Mid-Senior level,Internship,2024-01-22,Kaggle-LinkedIn-Synthetic,1,1
JOB-00138,Lead Data Analyst,OCBC,Hybrid - Singapore,Data Analyst,Entry level,Full-time,2024-07-08,Kaggle-LinkedIn-Synthetic,7,3
JOB-00139,Lead Data Analyst,IBM,"Jakarta, Indonesia",Data Analyst,Entry level,Contract,2024-08-03,Kaggle-LinkedIn-Synthetic,8,3
JOB-00140,Junior Data Analyst,OCBC,"Seattle, Wa",Data Analyst,Associate,Full-time,2024-11-21,Kaggle-LinkedIn-Synthetic,11,4
JOB-00141,Data Insights Analyst,Shopee,,Data Analyst,Mid-Senior level,Part-time,2024-03-31,Kaggle-LinkedIn-Synthetic,3,1
JOB-00142,Bi Analyst,Lazada,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-08-11,Kaggle-LinkedIn-Synthetic,8,3
JOB-00143,Financial Data Analyst,Telkom Indonesia,"Surabaya, Indonesia",Data Analyst,Associate,Internship,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00144,Business Data Analyst,Flipkart,"Seoul, South Korea",Data Analyst,Entry level,Contract,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00145,Financial Data Analyst,Microsoft,"Amsterdam, Netherlands",Data Analyst,Entry level,Full-time,2024-06-15,Kaggle-LinkedIn-Synthetic,6,2
JOB-00146,Associate Data Analyst,Bank Bca,"Seattle, Wa",Data Analyst,Mid-Senior level,Full-time,2024-05-12,Kaggle-LinkedIn-Synthetic,5,2
JOB-00147,Marketing Data Analyst,Deloitte,"Tokyo, Japan",Data Analyst,Mid-Senior level,Full-time,2024-01-06,Kaggle-LinkedIn-Synthetic,1,1
JOB-00148,Junior Data Analyst,Telkom Indonesia,"London, Uk",Data Analyst,Entry level,Full-time,2024-09-07,Kaggle-LinkedIn-Synthetic,9,3
JOB-00149,Data Insights Analyst,Lazada,Hybrid- Singapore,Data Analyst,Mid-Senior level,Contract,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00150,Associate Data Analyst,Microsoft,"Surabaya, Indonesia",Data Analyst,Associate,Full-time,2024-05-30,Kaggle-LinkedIn-Synthetic,5,2
JOB-00151,Data Analyst Intern,Telkom Indonesia,,Data Analyst,Associate,Full-time,2024-12-05,Kaggle-LinkedIn-Synthetic,12,4
JOB-00152,Associate Data Analyst,Linkaja,,Data Analyst,Associate,Full-time,2024-08-05,Kaggle-LinkedIn-Synthetic,8,3
JOB-00153,Financial Data Analyst,Flipkart,"Bangkok, Thailand",Data Analyst,Associate,Internship,2024-06-05,Kaggle-LinkedIn-Synthetic,6,2
JOB-00154,Business Data Analyst,Tokopedia,Singapore,Data Analyst,Associate,Internship,2024-06-10,Kaggle-LinkedIn-Synthetic,6,2
JOB-00155,Data Insights Analyst,Traveloka,Singapore,Data Analyst,Mid-Senior level,Contract,2024-04-20,Kaggle-LinkedIn-Synthetic,4,2
JOB-00156,Marketing Data Analyst,Linkaja,Remote,Data Analyst,Mid-Senior level,Full-time,2024-05-24,Kaggle-LinkedIn-Synthetic,5,2
JOB-00157,Business Data Analyst,Mckinsey,,Data Analyst,Entry level,Freelance,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00158,Marketing Data Analyst,Google,"Tokyo, Japan",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00159,Data Analyst,Meta,"Tokyo, Japan",Data Analyst,Mid-Senior level,Full-time,2024-05-29,Kaggle-LinkedIn-Synthetic,5,2
JOB-00160,Analytics Analyst,OVO,"Yogyakarta, Indonesia",Data Analyst,Director,Full-time,2024-01-07,Kaggle-LinkedIn-Synthetic,1,1
JOB-00161,Associate Data Analyst,Lazada,"Jakarta, Id",Data Analyst,Associate,Full-time,2024-06-23,Kaggle-LinkedIn-Synthetic,6,2
JOB-00162,Data Analyst,Astra International,"Jakarta, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-02-28,Kaggle-LinkedIn-Synthetic,2,1
JOB-00163,Data Analyst Intern,OVO,"Surabaya, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-10-22,Kaggle-LinkedIn-Synthetic,10,4
JOB-00164,Senior Data Analyst,Shopee,"Seoul, South Korea",Data Analyst,Entry level,Full-time,2024-06-04,Kaggle-LinkedIn-Synthetic,6,2
JOB-00165,Business Data Analyst,Tokopedia,"Tokyo, Japan",Data Analyst,Associate,Full-time,2024-08-01,Kaggle-LinkedIn-Synthetic,8,3
JOB-00166,Lead Data Analyst,P&G,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-08-14,Kaggle-LinkedIn-Synthetic,8,3
JOB-00167,Bi Analyst,OCBC,"San Francisco, Ca",Data Analyst,Associate,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00168,Bi Analyst,Spotify,Singapore,Data Analyst,Executive,Full-time,2024-11-16,Kaggle-LinkedIn-Synthetic,11,4
JOB-00169,Marketing Data Analyst,Netflix,"Medan, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00170,Lead Data Analyst,Apple,,Data Analyst,Entry level,Freelance,2024-01-02,Kaggle-LinkedIn-Synthetic,1,1
JOB-00171,Associate Data Analyst,Lazada,"San Francisco, Ca",Data Analyst,Director,Full-time,2024-01-17,Kaggle-LinkedIn-Synthetic,1,1
JOB-00172,Marketing Data Analyst,Mckinsey,"Berlin, Germany",Data Analyst,Mid-Senior level,Internship,2024-02-06,Kaggle-LinkedIn-Synthetic,2,1
JOB-00173,Marketing Data Analyst,Bukalapak,"London, Uk",Data Analyst,Mid-Senior level,Contract,2024-02-28,Kaggle-LinkedIn-Synthetic,2,1
JOB-00174,Analytics Analyst,Shopee,"Bangkok, Thailand",Data Analyst,Entry level,Full-time,2024-03-13,Kaggle-LinkedIn-Synthetic,3,1
